,address_no,description,satuan,Unit
0,KALTIM 0.SIGNAL.AI.20PAB41CT111,Unit #2 - CWP A Motor Winding Temp #1,°C,Common
1,KALTIM 0.SIGNAL.AI.20PAB41CT112,Unit #2 - CWP A Motor Winding Temp #2,°C,Common
2,KALTIM 0.SIGNAL.AI.20PAB41CT113,Unit #2 - CWP A Motor Winding Temp #3,°C,Common
3,KALTIM 0.SIGNAL.AI.20PAB41CT114,Unit #2 - CWP A Motor Winding Temp #4,°C,Common
4,KALTIM 0.SIGNAL.AI.20PAB41CT115,Unit #2 - CWP A Motor Winding Temp #5,°C,Common
5,KALTIM 0.SIGNAL.AI.20PAB41CT116,Unit #2 - CWP A Motor Winding Temp #6,°C,Common
6,KALTIM 0.SIGNAL.AI.20PAB42CT111,Unit #2 - CWP B Motor Winding Temp #1,°C,Common
7,KALTIM 0.SIGNAL.AI.20PAB42CT112,Unit #2 - CWP B Motor Winding Temp #2,°C,Common
8,KALTIM 0.SIGNAL.AI.20PAB42CT113,Unit #2 - CWP B Motor Winding Temp #3,°C,Common
9,KALTIM 0.SIGNAL.AI.20PAB42CT114,Unit #2 - CWP B Motor Winding Temp #4,°C,Common
10,KALTIM 0.SIGNAL.AI.20PAB42CT115,Unit #2 - CWP B Motor Winding Temp #5,°C,Common
11,KALTIM 0.SIGNAL.AI.20PAB42CT116,Unit #2 - CWP B Motor Winding Temp #6,°C,Common
12,KALTIM 0.SIGNAL.AI.10PAB42CT111,Unit #1 - CWP B Motor Winding Temp #1,°C,Common
13,KALTIM 0.SIGNAL.AI.10PAB42CT112,Unit #1 - CWP B Motor Winding Temp #2,°C,Common
14,KALTIM 0.SIGNAL.AI.10PAB42CT113,Unit #1 - CWP B Motor Winding Temp #3,°C,Common
15,KALTIM 0.SIGNAL.AI.10PAB42CT114,Unit #1 - CWP B Motor Winding Temp #4,°C,Common
16,KALTIM 0.SIGNAL.AI.10PAB42CT115,Unit #1 - CWP B Motor Winding Temp #5,°C,Common
17,KALTIM 0.SIGNAL.AI.10PAB42CT116,Unit #1 - CWP B Motor Winding Temp #6,°C,Common
18,KALTIM 0.SIGNAL.AI.10PAB41CT111,Unit #1 - CWP A Motor Winding Temp #1,°C,Common
19,KALTIM 0.SIGNAL.AI.10PAB41CT112,Unit #1 - CWP A Motor Winding Temp #2,°C,Common
20,KALTIM 0.SIGNAL.AI.10PAB41CT113,Unit #1 - CWP A Motor Winding Temp #3,°C,Common
21,KALTIM 0.SIGNAL.AI.10PAB41CT114,Unit #1 - CWP A Motor Winding Temp #4,°C,Common
22,KALTIM 0.SIGNAL.AI.10PAB41CT115,Unit #1 - CWP A Motor Winding Temp #5,°C,Common
23,KALTIM 0.SIGNAL.AI.10PAB41CT116,Unit #1 - CWP A Motor Winding Temp #6,°C,Common
24,KALTIM 0.SIGNAL.AI.10HFA10CL101,Bunker 1A,Meter,Common
25,KALTIM 0.SIGNAL.AI.10HFA20CL101,Bunker 1B,Meter,Common
26,KALTIM 0.SIGNAL.AI.10HFA30CL101,Bunker 1C,Meter,Common
27,KALTIM 0.SIGNAL.AI.10HFA40CL101,Bunker 1D,Meter,Common
28,KALTIM 0.SIGNAL.AI.10HFA50CL101,Bunker 1E,Meter,Common
29,KALTIM 0.SIGNAL.AI.10HFA60CL101,Bunker 1F,Meter,Common
30,KALTIM 0.SIGNAL.AI.20HFA10CL101,Bunker 2A,Meter,Common
31,KALTIM 0.SIGNAL.AI.20HFA20CL101,Bunker 2B,Meter,Common
32,KALTIM 0.SIGNAL.AI.20HFA30CL101,Bunker 2C,Meter,Common
33,KALTIM 0.SIGNAL.AI.20HFA40CL101,Bunker 2D,Meter,Common
34,KALTIM 0.SIGNAL.AI.20HFA50CL101,Bunker 2E,Meter,Common
35,KALTIM 0.SIGNAL.AI.20HFA60CL101,Bunker 2F,Meter,Common
36,KALTIM 0.SIGNAL.AI.00ERB15CL101,FOT A,mm,Common
37,KALTIM 0.SIGNAL.AI.00ERB15CL103,FOT B,mm,Common
38,KALTIM 0.SIGNAL.AI.00ERB15CT101,Temp 1 Tank #A,°C,Common
39,KALTIM 0.SIGNAL.AI.00ERB15CT102,Temp 2 Tank #A,°C,Common
40,KALTIM 0.SIGNAL.AI.00ERB15CT103,Temp 3 Tank #A,°C,Common
41,KALTIM 0.SIGNAL.AI.00ERB15CT105,Temp 1 Tank #B,°C,Common
42,KALTIM 0.SIGNAL.AI.00ERB15CT106,Temp 2 Tank #B,°C,Common
43,KALTIM 0.SIGNAL.AI.00ERB15CT107,Temp 3 Tank #B,°C,Common
44,KALTIM 0.SIGNAL.AI.J0EAT11CW001XQ05,Belt Scale C01A,T/H,Common
45,KALTIM 0.SIGNAL.AI.J0EAT11CW002XQ05,Belt Scale C05A,T/H,Common
46,KALTIM 0.SIGNAL.AI.J0EAT12CW001XQ05,Belt Scale C01B,T/H,Common
47,KALTIM 0.SIGNAL.AI.J0EAT12CW002XQ05,Belt Scale C05B,T/H,Common
48,KALTIM 0.SIGNAL.DI.J0EAA01AF001XB54,Ship Unloader A,,Common
49,KALTIM 0.SIGNAL.DI.J0EAA02AF001XB54,Ship Unloader B,,Common
50,KALTIM 0.SIGNAL.DI.J0EAC10AF002XB00,Conveyor C2 Unloading,,Common
51,KALTIM 0.SIGNAL.DI.J0EAC10AF002XB01,Conveyor C2 Loading,,Common
52,KALTIM 0.SIGNAL.DI.J0EAC10AF003,Conveyor 3,,Common
53,KALTIM 0.SIGNAL.DI.J0EAC11AF001XB01,Conveyor C01A,,Common
54,KALTIM 0.SIGNAL.DI.J0EAC11AF004,Conveyor C4A,,Common
55,KALTIM 0.SIGNAL.DI.J0EAC11AF005XB01,Conveyor C5A,,Common
56,KALTIM 0.SIGNAL.DI.J0EAC11AF006,Conveyor C6A,,Common
57,KALTIM 0.SIGNAL.DI.J0EAC12AF001XB01,Conveyor C01B,,Common
58,KALTIM1.SIGNAL.AI.10HJS01CP101,Unit #1 - Purging steam pressure,MPa,Unit 1
59,KALTIM1.SIGNAL.AI.10ERB10CP101,Unit #1 - Fuel oil inlet pressure,MPa,Unit 1
60,KALTIM1.SIGNAL.AI.10ERB10CF101,Unit #1 - Fuel oil inlet main pipe flow,t/h,Unit 1
61,KALTIM1.SIGNAL.AI.10ERB10CP102,Unit #1 - Fuel oil main pipe pressure,MPa,Unit 1
62,KALTIM1.SIGNAL.AI.10ERB20CF101,Unit #1 - Return fuel oil main pipe flow,t/h,Unit 1
63,KALTIM1.SIGNAL.AI.10ERB20CP101,Unit #1 - Return fuel oil main pipe pressure,MPa,Unit 1
64,KALTIM1.SIGNAL.AI.10HEW10CP101,Unit #1 - Coal feeder main seal air pipe pressure,KPa,Unit 1
65,KALTIM1.SIGNAL.AI.10HJA21CB101,Unit #1 - A lower igniting burner #1 flame detector flame intensity,%,Unit 1
66,KALTIM1.SIGNAL.AI.10HJA21CB102,Unit #1 - A lower igniting burner #2 flame detector flame intensity,%,Unit 1
67,KALTIM1.SIGNAL.AI.10HJA21CB103,Unit #1 - A lower igniting burner #3 flame detector flame intensity,%,Unit 1
68,KALTIM1.SIGNAL.AI.10HJA22CB101,Unit #1 - B lower igniting burner #1 flame detector flame intensity,%,Unit 1
69,KALTIM1.SIGNAL.AI.10HJA22CB102,Unit #1 - B lower igniting burner #2 flame detector flame intensity,%,Unit 1
70,KALTIM1.SIGNAL.AI.10HJA22CB103,Unit #1 - B lower igniting burner #3 flame detector flame intensity,%,Unit 1
71,KALTIM1.SIGNAL.AI.10HFB10AF001XQ01,Unit #1 - A coal feeder speed feedback,%,Unit 1
72,KALTIM1.SIGNAL.AI.10HFB10AF001XQ02,Unit #1 - A coal feeder flow feedback,t/h,Unit 1
73,KALTIM1.SIGNAL.AI.10HEW11CF101DP,Unit #1 - A coal feeder seal air flow,Pa,Unit 1
74,KALTIM1.SIGNAL.AI.10HFE11CF101DP,Unit #1 - A inlet coal spreading air flow (lower),Pa,Unit 1
75,KALTIM1.SIGNAL.AI.10HFE12CF101DP,Unit #1 - A inlet coal spreading air flow (upper),Pa,Unit 1
76,KALTIM1.SIGNAL.AI.10HEW14CF101DP,Unit #1 - D coal feeder seal air flow,Pa,Unit 1
77,KALTIM1.SIGNAL.AI.10HFE41CF101DP,Unit #1 - D inlet coal spreading air flow (lower),Pa,Unit 1
78,KALTIM1.SIGNAL.AI.10HFE42CF101DP,Unit #1 - D inlet coal spreading air flow (upper),Pa,Unit 1
79,KALTIM1.SIGNAL.AI.10HJF20CP101,Unit #1 - Lower bed oil gun inlet oil filter differential pressure,KPa,Unit 1
80,KALTIM1.SIGNAL.AI.10HJF20AA101XQ12,Unit #1 - Lower bed return igniting oil control valve position feedback,%,Unit 1
81,KALTIM1.SIGNAL.AI.10HJS20AA101XQ12,Unit #1 - Lower bed purging steam inlet control valve position feedback,%,Unit 1
82,KALTIM1.SIGNAL.AI.10HJS20CP101,Unit #1 - Lower bed purging steam inlet pressure,MPa,Unit 1
83,KALTIM1.SIGNAL.AI.10HJL20CP101,Unit #1 - Left lower bed oil gun flame detecting cooling air main pipe pre,MPa,Unit 1
84,KALTIM1.SIGNAL.AI.10HJL20CP102,Unit #1 - Right lower bed oil gun flame detecting cooling air main pipe pr,MPa,Unit 1
85,KALTIM1.SIGNAL.AI.10HFB40AF001XQ02,Unit #1 - D coal feeder flow feedback,t/h,Unit 1
86,KALTIM1.SIGNAL.AI.10HJF20CP102,Unit #1 - Lower bed igniting oil main pipe pressure,MPa,Unit 1
87,KALTIM1.SIGNAL.AI.10HJA23CB101,Unit #1 - C lower igniting burner #1 flame detector flame intensity,%,Unit 1
88,KALTIM1.SIGNAL.AI.10HJA23CB102,Unit #1 - C lower igniting burner #2 flame detector flame intensity,%,Unit 1
89,KALTIM1.SIGNAL.AI.10HJA23CB103,Unit #1 - C lower igniting burner #3 flame detector flame intensity,%,Unit 1
90,KALTIM1.SIGNAL.AI.10HJA24CB101,Unit #1 - D lower igniting burner #1 flame detector flame intensity,%,Unit 1
91,KALTIM1.SIGNAL.AI.10HJA24CB103,Unit #1 - D lower igniting burner #3 flame detector flame intensity,%,Unit 1
92,KALTIM1.SIGNAL.AI.10HJA24CB102,Unit #1 - D lower igniting burner #2 flame detector flame intensity,%,Unit 1
93,KALTIM1.SIGNAL.AI.10HFB40AF001XQ01,Unit #1 - D coal feeder speed feedback,%,Unit 1
94,KALTIM1.SIGNAL.AI.10HFB20AF001XQ01,Unit #1 - B coal feeder speed feedback,%,Unit 1
95,KALTIM1.SIGNAL.AI.10HFB20AF001XQ02,Unit #1 - B coal feeder flow feedback,t/h,Unit 1
96,KALTIM1.SIGNAL.AI.10HEW12CF101DP,Unit #1 - B coal feeder seal air flow,Pa,Unit 1
97,KALTIM1.SIGNAL.AI.10HFE21CF101DP,Unit #1 - B inlet coal spreading air flow (lower),Pa,Unit 1
98,KALTIM1.SIGNAL.AI.10HFE22CF101DP,Unit #1 - B inlet coal spreading air flow (upper),Pa,Unit 1
99,KALTIM1.SIGNAL.AI.10LAE20CP101,Unit #1 - Desuperheater water filter outlet pressure,MPa,Unit 1
